Text,Sentimen
selesaikan,1
semakin lembut,1
semakin makmur,1
semangat,1
semoga,1
sempurna,1
semuanya,1
senang,1
sengaja,1
sensasi,1
sensasional,1
senyum,1
sepanjang masa,1
sepantasnya,1
sepatutnya,1
sepele,1
sepenuh hati,1
seperti,1
seperti malaikat,1
seperti patung,1
seperti raja,1
serangan balik,1
serba cepat,1
serba guna,1
serius,1
sesak napas,1
sesuai,1
sesuai dengan mode terakhir,1
sesungguhnya,1
setajam silet,1
setia,1
setuju,1
sewajarnya,1
sewenang-wenang,1
shaleh,1
shalehah,1
shalihah,1
sholeh,1
siap,1
sigap,1
sihir,1
sikap tenang,1
silahkan,1
silakan,1
silaturahmi,1
silau,1
simpati,1
simpatisan,1
sistematik,1
sistematis,1
siuman,1
sobat,1
sohib,1
sok aksi,1
solid,1
solidaritas,1
solider,1
solusi,1
sopan,1
sopan santun,1
sorak kegirangan,1
sorga,1
sosial,1
spektakuler,1
spesial,1
spontan,1
sportif,1
sportivitas,1
sporty,1
stabil,1
stabilitas,1
steril,1
strategis,1
sub,1
subhanallah,1
subsidi,1
substantif,1
subur,1
suci,1
sudah berupaya,1
sudah berusaha,1
sudah dilakukan,1
suka,1
sukacita,1
sukaria,1
sukses,1
sulit,1
sumbangan,1
sungguh,1
sungguh-sungguh,1
super,1
supremasi,1
surealis,1
surga,1
surgawi,1
swasembada,1
swatantra,1
syukur,1
syukuran,1
taat,1
taat hukum,1
tabah,1
tabungan,1
tahan karat,1
tahan lama,1
tahu,1
tajam,1
tak ada banding,1
tak ada bandingan,1
tak ada salahnya,1
tak ada tandingan,1
tak ada taranya,1
tak berbahaya,1
tak bercacat,1
tak bersuara,1
tak bersyarat,1
tak dapat disangsikan,1
tak diragukan lagi,1
tak disengaja,1
tak kenal takut,1
tak perlu dipersoalkan,1
tak tahu malu,1
tak terbantahkan,1
tak terbatas,1
tak tergantikan,1
tak terhitung,1
tak terkalahkan,1
tak terkendalikan,1
tak terlupakan,1
tak ternilai,1
tak terpadai,1
tak tertahankan,1
takdir,1
takjub,1
takzim,1
talenta,1
tampak,1
tampan,1
tanda,1
tangan ke bawah,1
tangguh,1
tangkas,1
tanpa cela,1
tanpa dosa,1
tanpa malu-malu,1
tanpa rasa sakit,1
tanpa rasa takut,1
tanpa tenaga,1
taubat,1
tauladan,1
tawa,1
tawaduk,1
tawakal,1
tawar,1
tawaran,1
tdk berbahaya,1
tegar,1
tegas,1
teguh,1
tekad,1
tekun,1
teladan,1
telah berjalan,1
teliti,1
temanmu,1
tenang,1
tenteram,1
tentram,1
tepa salira,1
tepat,1
tepat guna,1
tepat pada waktunya,1
tepat sasaran,1
tepat waktu,1
tepati,1
tepuk tangan sorak,1
terahmati,1
terampil,1
terang,1
terang benderang,1
teranyar,1
terawat,1
terbaik,1
terbantu,1
terbaru,1
terbarukan,1
terbatas,1
terbebani,1
terberat,1
terbersih,1
terbesar,1
terbiasa,1
terbrilian,1
terbukti,1
tercakap,1
tercakep,1
tercanggih,1
tercangging,1
tercantik,1
tercapai,1
tercengang,1
tercepat,1
tercerdas,1
tercinta,1
terdengar,1
terdepan,1
terdongkrak,1
teredukasi,1
terelakkan,1
terfavorit,1
terfenomenal,1
tergantikan,1
tergapai,1
terharu,1
terhebat,1
terhibur,1
terhormat,1
terima,1
terima kasih,1
terindah,1
terinformasi,1
terinspirasi,1
teristimewa,1
terjamin,1
terjangkau,1
terkagum-kagum,1
terkalahkan,1
terkasih,1
terkejar,1
terkejut,1
terkekang,1
terkemuka,1
terkenal,1
terkenal di dunia,1
terkendali,1
terkirim,1
terkuat,1
terlalu memanjakan,1
terlezat,1
terlincah,1
termasyhur,1
termotivasi,1
termudah,1
termurah,1
ternama,1
terobosan,1
terohmati,1
terompet,1
terpadu,1
terpana,1
terpanas,1
terpandai,1
terpandang,1
terpelajar,1
terpengaruh,1
terpenting,1
terpercaya,1
terpesona,1
terpilih,1
terpintar,1
terpuji,1
terpukau,1
terrifically,1
tersabar,1
tersadar,1
tersadarkan,1
tersantun,1
tersantuni,1
tersayang,1
tersedia,1
tersenyum,1
tersipu,1
tersipu-sipu,1
tersohor,1
tersopan,1
terspektakuler,1
terstruktur,1
tersuci,1
tersucikan,1
tersukses,1
tertaat,1
tertampan,1
tertarik,1
tertawa,1
tertib,1
tertinggi,1
tertolong,1
teruji,1
terungkap,1
terurus,1
terus terang,1
terutama,1
tetap,1
tetap di sini,1
tiada banding,1
tiada bandingan,1
tiada duanya,1
tiada tandingan,1
tidak ada banding,1
tidak ada bandingan,1
tidak ada tandingan,1
tidak apa-apa,1
tidak egois,1
tidak ternilai,1
tipis,1
tokoh,1
toleran,1
toleransi,1
tolong-menolong,1
trendi,1
trofi,1
tropi,1
tulang punggung,1
tulus,1
tumbuh cepat,1
tunggu dulu,1
tuntas,1
tuntun,1
tuntunan,1
uang kembali,1
ukhuwah,1
ulet,1
ulung,1
unggul,1
unggulan,1
unik,1
untung,1
untungnya,1
usulan bersama,1
usulan masyarakat,1
utuh,1
uye,1
valid,1
variasi,1
visibel,1
visioner,1
wah,1
wahyu,1
wajar,1
wajar-wajar,1
warna-warni,1
waspada,1
whooa,1
wibawa,1
yahud,1
yakin,1
yay,1
yeah,1
yihaa,1
acak-acakan,-1
adiktif,-1
adu,-1
adu domba,-1
aduh,-1
aib,-1
akal bulus,-1
alasan saja,-1
alibi,-1
aliran,-1
alkohol,-1
amatir,-1
ambisi,-1
ambisius,-1
ambruk,-1
amburadul,-1
ampas,-1
amputasi,-1
amuk,-1
anarkis,-1
ancam,-1
ancaman,-1
aneh,-1
angin kencang,-1
anjing,-1
apa boleh buat,-1
apa sih,-1
apatis,-1
asal,-1
asal bunyi,-1
asal jadi,-1
asal tulis,-1
asam,-1
asli tapi palsu,-1
asli tetapi palsu,-1
awas,-1
babak belur,-1
bacokan,-1
bagaimana mau,-1
bagaimana mungkin,-1
bahan peledak,-1
bahaya,-1
bahayakan,-1
bakteri,-1
baku hantam,-1
balas,-1
balas dendam,-1
banci,-1
bandel,-1
bandel,-1
bangkai,-1
bangkrut,-1
bangsat,-1
banjir,-1
bantah,-1
bantai,-1
banyak bicara,-1
banyak cincong,-1
banyak cingcong,-1
banyak pertanyaan,-1
banyak tingkah,-1
barbar,-1
barbarisme,-1
basi,-1
basi,-1
batal,-1
batalkan,-1
batuk-batuk,-1
bawah tangan,-1
bebal,-1
beber,-1
bekeluyuran,-1
bekoar,-1
belingsatan,-1
belum begitu dekat,-1
bencana,-1
benci,-1
bengis,-1
bengkak,-1
beracun,-1
berakal bulus,-1
beralkohol,-1
berantakan,-1
berbahaya,-1
berbanding terbalik,-1
berbantah-bantahan,-1
berbantahan,-1
berbelit-belit,-1
berbenturan,-1
berbohong,-1
berbohong,-1
berborok,-1
bercampur aduk,-1
berdaki,-1
berdalih,-1
berdarah,-1
berdarah dingin,-1
berdebat,-1
berdemo,-1
berdemonstrasi,-1
berdesak-desakan,-1
berdesakan,-1
berdosa,-1
berduka cita,-1
berdusta,-1
beresiko,-1
berfoya-foya,-1
bergelandangan,-1
bergentayangan,-1
bergidik,-1
bergontok-gontokan,-1
bergontokan,-1
bergosip,-1
bergunjing,-1
berhamburan,-1
berhantu,-1
berhura-hura,-1
berhutang,-1
beriba-iba,-1
berimbas,-1
berimpitan,-1
beringas,-1
berisik,-1
berisiko,-1
berjangkit,-1
berjatuhan,-1
berjejal,-1
berjudi,-1
berkabung,-1
berkacak pinggang,-1
berkasak-kusuk,-1
berkecamuk,-1
berkecil hati,-1
berkedok,-1
berkelahi,-1
berkelainan,-1
berkeliaran,-1
berkelit,-1
berkeluyuran,-1
berkerut,-1
berkhalwat,-1
berkhianat,-1
berkilah,-1
berkilah,-1
berkoar,-1
berkoar-koar,-1
berkolusi,-1
berkomplot,-1
berkonflik,-1
berkongkalikong,-1
berkotor-kotor,-1
berkuman,-1
berkunang-kunang,-1
berkutu,-1
berlagak,-1
berlawanan,-1
berlebih-lebihan,-1
berlebihan,-1
berlebihan,-1
berleha-leha,-1
berliku,-1
berliku-liku,-1
berlinang,-1
berlinangan,-1
berlubang,-1
berlubang-lubang,-1
bermadat,-1
bermadu,-1
bermasalah,-1
bermegah-megah,-1
bermesum,-1
bermewah-mewah,-1
bermewah-mewahan,-1
bermuram,-1
bermusuhan,-1
bernafsu,-1
bernoda,-1
berolok-olok,-1
berpaling,-1
berpangku tangan,-1
berpecah belah,-1
berpenyakit,-1
berpidana,-1
berpisah,-1
berpolemik,-1
berpongah-pongah,-1
berprasangka,-1
berprasangka buruk,-1
berpretensi,-1
berpropaganda,-1
berpura-pura,-1
berpusing-pusing,-1
bersalah,-1
bersandiwara,-1
bersikut-sikutan,-1
bersikutan,-1
bersilang sengketa,-1
bersilangan,-1
bersilat lidah,-1
bersimpang siur,-1
bersinggungan,-1
bersitegang,-1
berspekulasi,-1
bersungut,-1
bersungut-sungut,-1
bersusah hati,-1
bersyubhat,-1
bertabrakan,-1
bertanggung jawab,-1
bertele-tele,-1
bertengkar,-1
bertentangan,-1
berteriak,-1
berteriak-teriak,-1
bertikai,-1
bertingkah,-1
bertubrukan,-1
bertumpang tindih,-1
bertumpang-tindih,-1
bertumpuk,-1
berulah,-1
berulat,-1
berunjuk rasa,-1
berurusan,-1
berusuh,-1
berutang,-1
berzina,-1
berzinah,-1
biadab,-1
biang keladi,-1
biang kerusuhan,-1
biangnya,-1
bicara sembarangan,-1
bicara terus-terusan,-1
bimbang,-1
binasa,-1
bingung,-1
bingung,-1
bintik,-1
blak-blakan,-1
blokir,-1
bocor,-1
bocoran,-1
bodoh,-1
bodoh,-1
bogem,-1
bohong,-1
bohong,-1
boikot,-1
bokek,-1
bolak-balik,-1
bolong-bolong,-1
bolos,-1
bolos,-1
bom,-1
bombardir,-1
bordil,-1
borgol,-1
borjuis,-1
boro-boro,-1
borok,-1
borokan,-1
boros,-1
bosan,-1
bosan,-1
bt,-1
bual,-1
bualan,-1
buangan,-1
buas,-1
bubar,-1
bubarkan,-1
bukan-bukan,-1
buku hitam,-1
bulan tua,-1
bulan-bulanan,-1
bulukan,-1
bungkam,-1
buntu,-1
bunuh,-1
bunuh diri,-1
buron,-1
buronan,-1
buruh kasar,-1
buruk,-1
buruk sangka,-1
busuk,-1
busung lapar,-1
buta huruf,-1
butut,-1
buyar,-1
cabik,-1
cabul,-1
cacat,-1
caci,-1
caci maki,-1
cacian,-1
cacing,-1
campur aduk,-1
candu,-1
canggung,-1
cape,-1
cape hati,-1
capek,-1
capek,-1
capek hati,-1
caplok,-1
cari muka,-1
cari muka,-1
cari perhatian,-1
cari saja sendiri,-1
cari sendiri,-1
cari-cari kesalahan,-1
carut,-1
carut-marut,-1
catut,-1
catutan,-1
cecar,-1
cecaran,-1
cedera,-1
cegah tangkal,-1
cek kosong,-1
cekak,-1
cekal,-1
cekcok,-1
cela,-1
celaan,-1
celaka,-1
cemarkan,-1
cemas,-1
cemaskan,-1
cemberut,-1
cemburu,-1
cemburu,-1
cemburuan,-1
cengeng,-1
cerai,-1
cerai-berai,-1
cercaan,-1
ceroboh,-1
cibir,-1
cibiran,-1
cidera,-1
cincong,-1
ck,-1
colong,-1
comel,-1
comelan,-1
compang-camping,-1
congkak,-1
contek,-1
contekan,-1
copet,-1
coreng,-1
coreng-moreng,-1
cuci otak,-1
cuci uang,-1
cuek,-1
culik,-1
culun,-1
cuma,-1
curang,-1
curi,-1
curian,-1
curiga,-1
curigaan,-1
dablek,-1
dadakan,-1
daftar hitam,-1
daif,-1
dajal,-1
daki,-1
dakwa,-1
dakwaan,-1
dalih,-1
dampak,-1
damprat,-1
dampratan,-1
dana talangan,-1
darah dingin,-1
darah tinggi,-1
dauf,-1
defisit,-1
degenerasi,-1
degeneratif,-1
degradasi,-1
dehidrasi,-1
dekil,-1
demo,-1
demonstran,-1
demonstrasi,-1
demoralisasi,-1
dendam,-1
dendam kesumat,-1
dengki,-1
deportasi,-1
derita,-1
desak,-1
desakan,-1
desas-desus,-1
destruksi,-1
detonasi,-1
detonator,-1
deviasi,-1
dhaif,-1
dhalim,-1
dholim,-1
dhuafa,-1
di bawah sadar,-1
di bawah umur,-1
diabaikan,-1
diacak-acak,-1
diadili,-1
diadu domba,-1
diadudombakan,-1
diam-diam,-1
diamankan,-1
diamlah,-1
diancam,-1
diawasi,-1
dibacok,-1
dibakar,-1
dibanding-bandingkan,-1
dibangkrutkan,-1
dibantah,-1
dibantai,-1
dibatalkan,-1
dibatasi,-1
dibawa kabur,-1
dibawa-bawa,-1
dibayang-bayangi,-1
dibebankan,-1
dibeberkan,-1
dibeda-bedakan,-1
dibelenggu,-1
dibinasakan,-1
diblokir,-1
dibocorkan,-1
dibodohi,-1
dibohongi,-1
diboikot,-1
dibom,-1
dibombardir,-1
diborgol,-1
dibuang,-1
dibuat lagi,-1
dibuat-buat,-1
dibubarkan,-1
dibungkam,-1
dibunuh,-1
dibutakan,-1
dibuyarkan,-1
dicabik,-1
dicabik-canik,-1
dicabuli,-1
dicaci,-1
dicaci maki,-1
dicambuk,-1
dicampakkan,-1
dicampur aduk,-1
dicampuradukkan,-1
dicaplok,-1
dicatut,-1
dicecar,-1
dicekal,-1
dicekam,-1
dicekik,-1
dicela,-1
dicelakai,-1
dicemari,-1
dicemaskan,-1
dicemburui,-1
dicerca,-1
dicibir,-1
dicolong,-1
dicontek,-1
dicopet,-1
dicopot,-1
dicoreng,-1
dicuci otak,-1
dicurangi,-1
dicuri,-1
dicurigai,-1
didakwa,-1
didakwakan,-1
didalangi,-1
didamprat,-1
didepak,-1
dideportasi,-1
didera,-1
didesak,-1
didesas-desuskan,-1
didhalimi,-1
didholimi,-1
didikte,-1
didiskreditkan,-1
didiskriminasi,-1
didiskriminasikan,-1
didiskualifikasi,-1
didiskualifikasikan,-1
diduai,-1
diduakan,-1
diduga,-1
diduga-duga,-1
didustai,-1
didustakan,-1
didzalimi,-1
dieksekusi,-1
dieksploitasi,-1
diekspos,-1
dieliminasi,-1
diempaskan,-1
dienyahkan,-1
difitnah,-1
diforsir,-1
digampangkan,-1
digampar,-1
diganggu,-1
diganggu-gugat,-1
diganjal,-1
diganjar,-1
digasak,-1
digauli,-1
digebuk,-1
digebuki,-1
digedor,-1
digedor-gedor,-1
digegerkan,-1
digelandang,-1
digelapkan,-1
digembar-gemborkan,-1
digemparkan,-1
digempur,-1
digencet,-1
digentayangi,-1
digerayangi,-1
digerebek,-1
digerecoki,-1
digerepe,-1
digerogoti,-1
digertak,-1
digondol,-1
digorok,-1
digosipkan,-1
digosipkan,-1
digrecoki,-1
digugat,-1
digugurkan,-1
digulingkan,-1
diguna-guna,-1
diguna-gunai,-1
diguncang,-1
digunjingkan,-1
digusur,-1
dihabisi,-1
dihadang,-1
dihajar,-1
dihalang,-1
dihalang-halangi,-1
dihalangi,-1
dihambat,-1
dihambur-hamburkan,-1
dihamburkan,-1
dihancurkam,-1
dihancurkan,-1
dihancurleburkan,-1
dihanguskan,-1
dihantam,-1
dihantui,-1
diharamkan,-1
dihardik,-1
dihasut,-1
dihempas,-1
dihempaskan,-1
dihina,-1
dihujat,-1
dihukum,-1
diisolasi,-1
dijajah,-1
dijambak,-1
dijambret,-1
dijangkiti,-1
dijarah,-1
dijebak,-1
dijebloskan,-1
dijegal,-1
dijerat,-1
dijiplak,-1
dikacaubalaukan,-1
dikacaukan,-1
dikafirkan,-1
dikalahkan,-1
dikambinghitamkan,-1
dikasari,-1
dikata-katai,-1
dikatai,-1
dikebiri,-1
dikecam,-1
dikecewakan,-1
dikejar-kejar,-1
dikekang,-1
dikelabui,-1
dikeluhkan,-1
dikemplang,-1
dikenai biaya,-1
dikenakan biaya,-1
dikentutin,-1
dikerangkeng,-1
dikerdilkan,-1
dikeroyok,-1
dikeruhkan,-1
dikesalkan,-1
dikesampingkan,-1
dikhawatirkan,-1
dikhianati,-1
dikibuli,-1
dikompori,-1
dikontaminasi,-1
dikorbankan,-1
dikorup,-1
dikorupsi,-1
dikotori,-1
dikritik,-1
diktator,-1
dikucilkan,-1
dikufurkan,-1
dikungkung,-1
dikuntit,-1
dikurangi,-1
dikurung,-1
dikutuk,-1
dilabrak,-1
dilacurkan,-1
dilaknat,-1
dilalaikan,-1
dilambat-lambatkan,-1
dilampiaskan,-1
dilanda,-1
dilanggar,-1
dilarang,-1
dilawan,-1
dilebih-lebihkan,-1
dilecehkan,-1
diledakkan,-1
diledek,-1
diledeki,-1
dilema,-1
dilemahkan,-1
dilematik,-1
dilematis,-1
dilenyapkan,-1
dilindas,-1
dilucuti,-1
diludahi,-1
dilukai,-1
dilumpuhkan,-1
dilupakan,-1
dimabuk,-1
dimaki,-1
dimandulkan,-1
dimanipulasi,-1
dimanipulasikan,-1
dimarahi,-1
dimonopoli,-1
dimuntahkan,-1
dimusuhi,-1
dimutilasi,-1
dinamit,-1
dinistakan,-1
dinodai,-1
diobrak-abrik,-1
diombang-ambing,-1
diomeli,-1
dipaksa,-1
dipaksakan,-1
dipalak,-1
dipalaki,-1
dipalsukan,-1
dipanas-panasi,-1
dipancung,-1
dipasung,-1
dipecat,-1
diperbudak,-1
diperburuk,-1
diperdaya,-1
diperdebatkan,-1
diperepot,-1
diperkosa,-1
diperlama,-1
diperlambat,-1
diperlemah,-1
dipermasalahkan,-1
diperparah,-1
dipersadis,-1
dipersakit,-1
dipersalah,-1
dipersalahkan,-1
dipersoalkan,-1
dipersukar,-1
dipersulit,-1
dipersuram,-1
dipersusah,-1
dipertakut,-1
dipertaruhkan,-1
dipertarungkan,-1
dipertegang,-1
dipertengkarkan,-1
diperumit,-1
diperusuh,-1
dipidana,-1
dipidanakan,-1
dipinggirkan,-1
dipojokkan,-1
dipreteli,-1
dipropaganda,-1
diprotes,-1
diprovokasi,-1
dipukul,-1
dipukuli,-1
dipulangkan,-1
dipungut,-1
dipungut iuran,-1
dipungut uang,-1
dipusingkan,-1
diracun,-1
diracuni,-1
diragukan,-1
dirajam,-1
dirampas,-1
dirampok,-1
diratapi,-1
dirazia,-1
direkayasa,-1
diremehkan,-1
direndahkan,-1
direnggut,-1
direpotkan,-1
diresahkan,-1
diributkan,-1
diringkus,-1
dirobek,-1
dirobek-robek,-1
dirobohkan,-1
dirongrong,-1
dirugikan,-1
dirumahkan,-1
dirumitkan,-1
dirundung,-1
dirunyamkan,-1
dirusak,-1
dirusakkan,-1
diruwetkan,-1
disabotase,-1
disadap,-1
disakiti,-1
disalahartikan,-1
disalahgunakan,-1
disalahkan,-1
disamarkan,-1
disambar,-1
disambit,-1
disandera,-1
disanggah,-1
disangka,-1
disangkal,-1
disangkutpautkan,-1
disangsikan,-1
disantet,-1
disatroni,-1
disayangkan,-1
disayat,-1
disayat-sayat,-1
disfungsi,-1
disharmoni,-1
disia-siakan,-1
disidang,-1
disiden,-1
disidik,-1
disiksa,-1
disikut,-1
disilet,-1
disindir,-1
disinggung,-1
disingkirkan,-1
disintegrasi,-1
disinyalir,-1
disisihkan,-1
disita,-1
diskors,-1
diskotek,-1
diskotik,-1
diskredit,-1
diskriminasi,-1
diskriminatif,-1
diskualifikasi,-1
disobek,-1
disobek-sobek,-1
disodomi,-1
disogok,-1
disomasi,-1
disombongkan,-1
disorder,-1
distorsi,-1
distreskan,-1
disuap,-1
disudutkan,-1
disulut,-1
disumpahi,-1
disumpel,-1
disundut,-1
disusahi,-1
disusahkan,-1
disusupi,-1
disusupkan,-1
disusutkan,-1
ditabok,-1
ditabrak,-1
ditagih,-1
ditahan,-1
ditakut-takuti,-1
ditakuti,-1
ditalak,-1
ditampar,-1
ditangisi,-1
ditangkap,-1
ditawan,-1
ditekan,-1
ditelan mentah-mentah,-1
ditelanjangi,-1
ditelantarkan,-1
ditembaki,-1
ditempeleng,-1
ditentang,-1
diteriaki,-1
diterjang,-1
diteror,-1
ditertawai,-1
ditertawakan,-1
ditewaskan,-1
ditiduri,-1
ditikam,-1
ditilang,-1
ditilap,-1
ditilep,-1
ditimpa,-1
ditimpakan,-1
ditimpuk,-1
ditimpuki,-1
ditindas,-1
ditinggalkan,-1
ditinjau lagi,-1
ditinju,-1
ditipu,-1
ditiru-tiru,-1
ditodong,-1
ditolak,-1
ditomboki,-1
ditonjok,-1
ditoyor,-1
dituding,-1
dituduh,-1
dituduhkan,-1
ditulari,-1
ditularkan,-1
ditumbalkan,-1
ditumpulkan,-1
ditunda,-1
ditunda-tunda,-1
ditunggangi,-1
dituntut,-1
diturunkan,-1
ditusuk,-1
ditusuk-tusuk,-1
ditutup-tutupi,-1
ditutupi,-1
diurungkan,-1
diusik,-1
diusir,-1
dizalimi,-1
dizinahi,-1
dizinai,-1
dobrak,-1
dompleng,-1
don juang,-1
dongkol,-1
dosa,-1
dugaan,-1
duka,-1
duka cita,-1
dukun,-1
dumping,-1
dungu,-1
dunia gemerlap,-1
dunia hitam,-1
durhaka,-1
durhana,-1
dusta,-1
dzalim,-1
ecek-ecek,-1
edan,-1
edan-edanan,-1
egois,-1
egoisme,-1
egoistis,-1
ekshibisionis,-1
ekshibisionisme,-1
eksploitasi,-1
eksplosif,-1
ekspos,-1
ekstasi,-1
ekstrem,-1
ekstrim,-1
elak,-1
eliminasi,-1
emang,-1
emang gue pikirin,-1
embat,-1
embel-embel,-1
emghantam,-1
emoh,-1
emosi,-1
emosional,-1
empet,-1
enak saja,-1
endemi,-1
eneg,-1
enek,-1
engap,-1
enggan,-1
entah,-1
enyah,-1
enyahkan,-1
epidemi,-1
epilepsi,-1
erangan,-1
eror,-1
erosi,-1
erotik,-1
erotis,-1
erpusi,-1
error,-1
fakir,-1
fals,-1
fanatik,-1
fanatisme,-1
fasad,-1
fasakh,-1
fasik,-1
fasis,-1
fasisme,-1
fatal,-1
feodal,-1
feodalisme,-1
fiktif,-1
fitnah,-1
fitnahan,-1
formalin,-1
formalitas,-1
forsir,-1
foya-foya,-1
friksi,-1
frontal,-1
frustasi,-1
gaduh,-1
gadungan,-1
gagal,-1
gagal total,-1
gagap teknologi,-1
gaji buta,-1
galak,-1
galak,-1
galau,-1
gamang,-1
gampangan,-1
gampar,-1
ganas,-1
ganggu,-1
ganggu gugat,-1
gangguan,-1
gangster,-1
ganja,-1
ganja,-1
ganjalan,-1
ganjen,-1
ganjil,-1
gap,-1
gaptek,-1
gara-gara,-1
garing,-1
garong,-1
gasab,-1
gasak,-1
gawat,-1
geblek,-1
gebuk,-1
gedebak-gedebuk,-1
gedor,-1
gegabah,-1
geger,-1
gejala,-1
gelagap,-1
gelagapan,-1
gelagat,-1
gelandangan,-1
gelandangan,-1
gelap,-1
geledah,-1
gelepar,-1
geletak,-1
gelisah,-1
gelonggong,-1
gelonggongan,-1
gembar-gembor,-1
gembel,-1
gemblung,-1
gembong,-1
gembos,-1
gembrot,-1
gembul,-1
gemetar,-1
gempa,-1
gempar,-1
gempor,-1
gempur,-1
gempuran,-1
gendeng,-1
genderuwo,-1
geng,-1
genosida,-1
gentayangan,-1
genting,-1
gep,-1
gerabak-gerubuk,-1
gerah,-1
geram,-1
geraman,-1
gerayan,-1
gerebek,-1
gerecok,-1
germo,-1
gerogot,-1
gerombol,-1
gerombolan,-1
gersang,-1
gertak,-1
gertakan,-1
gerutu,-1
getir,-1
gibah,-1
gigi mancung,-1
gigi nongol,-1
gigolo,-1
gila,-1
gila,-1
goblok,-1
goblok,-1
gombal,-1
gombalan,-1
gondok,-1
gondol,-1
gonjang-ganjing,-1
gonore,-1
gonta-ganti,-1
gontok-gontokan,-1
gores,-1
gorok,-1
gosip,-1
gosong,-1
goyah,-1
gracok,-1
grogi,-1
gugat,-1
gugatan,-1
gugup,-1
gulana,-1
gulma,-1
guna-guna,-1
gundah,-1
gundah gulana,-1
gundik,-1
gunjing,-1
gunjingan,-1
gusar,-1
hajar,-1
halangan,-1
halusinasi,-1
hama,-1
hambat,-1
hambatan,-1
hambur,-1
hancur,-1
hancur,-1
hancur lebur,-1
hancur-hancuran,-1
hangus,-1
hantam,-1
hantaman,-1
hantu,-1
hanya,-1
hanyut,-1
haram,-1
hardik,-1
hardikan,-1
harusnya,-1
hasad,-1
hasud,-1
hasut,-1
hasutan,-1
hedonis,-1
hedonisme,-1
hengkang,-1
heran,-1
heroin,-1
herpes,-1
hilang,-1
hilang,-1
himpitan,-1
hina,-1
hinaan,-1
hingar-bingar,-1
hiperaktif,-1
hiperbol,-1
hiperbola,-1
hiperbolis,-1
hiperseksual,-1
hipersensitif,-1
hipokrit,-1
homoseks,-1
homoseksual,-1
horor,-1
hostes,-1
hujan lebat,-1
hujat,-1
hujatan,-1
hukuman,-1
hura-hura,-1
hutang,-1
iblis,-1
idiot,-1
ikut campur,-1
ilegal,-1
imbak,-1
imbal,-1
imbas,-1
imitasi,-1
imitasi,-1
imitatif,-1
imitator,-1
impase,-1
imperfek,-1
imperialis,-1
imperialisme,-1
impitan,-1
impor,-1
impoten,-1
impotensi,-1
impulsif,-1
inadaptabilitas,-1
inca,-1
indisipliner,-1
individualisme,-1
individualistis,-1
indoktrinasi,-1
indolen,-1
inefisiensi,-1
infeksi,-1
inferior,-1
inferioritas,-1
infertil,-1
infertilitas,-1
inflasi,-1
infleksibilitas,-1
ingkar,-1
inkarsunah,-1
inkompatibel,-1
inkonsisten,-1
inkonsistensi,-1
inlander,-1
inses,-1
insiden,-1
insinuasi,-1
instabilitas,-1
internir,-1
interupsi,-1
intimidasi,-1
intimidatif,-1
intoleran,-1
intrik,-1
invalid,-1
irasional,-1
irasionalitas,-1
iri,-1
iri,-1
iri hati,-1
ironi,-1
ironis,-1
isak,-1
isolasi,-1
istan,-1
isu,-1
jadi bumerang,-1
jaga image,-1
jahanam,-1
jahat,-1
jahil,-1
jahiliah,-1
jahiliyah,-1
jail,-1
jajah,-1
jajahan,-1
jalang,-1
jamah,-1
jambak,-1
jambret,-1
jambretan,-1
jampi-jampi,-1
jangan asal,-1
jangan diganggu,-1
jangan sampai,-1
jangan sekarang,-1
jangan tanya,-1
jangan-jangan,-1
jangankan,-1
janggal,-1
jarah,-1
jarahan,-1
jarang dibelai,-1
jeblok,-1
jebol,-1
jegal,-1
jelangkung,-1
jelantah,-1
jelek,-1
jelek,-1
jemawa,-1
jengkel,-1
jenuh,-1
jerit,-1
jeritan,-1
jijik,-1
jiplak,-1
jiplakan,-1
joki,-1
jongos,-1
jontor,-1
jorok,-1
jotos,-1
judes,-1
judi,-1
justru,-1
kabur,-1
kabur,-1
kacau,-1
kacau,-1
kacau balau,-1
kacau-balau,-1
kacung,-1
kadaluarsa,-1
kadaluwarsa,-1
kafir,-1
kagok,-1
kaku,-1
kalah,-1
kalang kabut,-1
kalap,-1
kalau tidak,-1
kalibut,-1
kalicau,-1
kalut,-1
kambing hitam,-1
kambuh,-1
kambuhan,-1
kandas,-1
kanibal,-1
kanibalisme,-1
kapitalis,-1
karam,-1
karsinogen,-1
karsinogenik,-1
kartu kuning,-1
kartu merah,-1
karusi,-1
karut,-1
karut-marut,-1
kasak-kusuk,-1
kasar,-1
kasus,-1
katastrofe,-1
kebakaran,-1
kebandelan,-1
kebangetan,-1
kebangkrutan,-1
kebanjiran,-1
keberatan,-1
kebiadaban,-1
kebinasaan,-1
kebiri,-1
keblinger,-1
kebobolan,-1
kebobrokan,-1
kebocoran,-1
kebodohan,-1
kebohongan,-1
keborosan,-1
kebuntuan,-1
keburu,-1
keburukan,-1
kebusukan,-1
kebut-kebutan,-1
kebuyaran,-1
kecam,-1
kecaman,-1
kecamuk,-1
kecanggungan,-1
kecapean,-1
kecapekan,-1
kecelakaan,-1
kecelakaan,-1
kecemasan,-1
kecemburuan,-1
kecengengan,-1
keceplosan,-1
kecerewetan,-1
kecerobohan,-1
kecewa,-1
kecil hati,-1
kecoh,-1
kecolongan,-1
kecongkakan,-1
kecopetan,-1
keculasan,-1
